| Names  | Attendance | Information |
|--------|------------|-------------|
| BRIE Clément | signature recognized |  |
| Armina BONNET | signature recognized | Shows interest |
| BEAUDOIN Roslyn | signature recognized |  |
| Cécile d'Archambault | remote through videocall | Teams |
| Cerise TACHEL | signature recognized |  |
| Heloise DESCOTEAUX | signature recognized | potential buyer |
| Bruno PARADIS | remote through videocall | teams |
| Hugh Galarneau | remote through videocall | Google meetBR |
| Timothée GUIMOND | signature recognized | to recontact ASAP |
| Forrest GUMP | absent |  |
| Kylian MBAPPÉ | absent |  |
| ROBINET Charles | remote through videocall | Google meet |
| DUC Ed | uncertain |  |
| LAM Patrick | uncertain |  |
| Baymond Alban | uncertain |  |
| PAL | uncertain |  |
